[0.030044820308685303]	[0.10500000000000008]
[0.030044984817504884]	[0.10600000000000008]
[0.030044898986816407]	[0.10700000000000008]
[0.029654247760772703]	[0.10800000000000008]
[0.03004457473754883]	[0.10900000000000008]
[0.03004469394683838]	[0.11000000000000008]
[0.029654080867767333]	[0.11100000000000008]
[0.03004439115524292]	[0.11200000000000009]
[0.03004455804824829]	[0.11300000000000009]
[0.030044476985931396]	[0.11400000000000009]
[0.02965698957443237]	[0.11500000000000009]
[0.030044136047363282]	[0.11600000000000009]
[0.030044329166412354]	[0.11700000000000009]
[0.029657533168792726]	[0.11800000000000009]
[0.03004448413848877]	[0.11900000000000009]
[0.030044169425964357]	[0.12000000000000009]
[0.029666221141815184]	[0.1210000000000001]
[0.030044329166412354]	[0.1220000000000001]
[0.030044004917144776]	[0.1230000000000001]
[0.0300439190864563]	[0.1240000000000001]
[0.029661145210266113]	[0.12500000000000008]
[0.030044081211090087]	[0.12600000000000008]
[0.03004375696182251]	[0.12700000000000009]
[0.02965933322906494]	[0.12800000000000009]
[0.030043928623199462]	[0.1290000000000001]
[0.03004364013671875]	[0.1300000000000001]
[0.0300435471534729]	[0.1310000000000001]
[0.02966358423233032]	[0.1320000000000001]
[0.03004368543624878]	[0.1330000000000001]
[0.03004338026046753]	[0.1340000000000001]
[0.02966243267059326]	[0.1350000000000001]
[0.030043628215789795]	[0.1360000000000001]
[0.030043203830718995]	[0.1370000000000001]
[0.030043132305145263]	[0.1380000000000001]
[0.02966503381729126]	[0.1390000000000001]
[0.030043361186981202]	[0.1400000000000001]
[0.03004297733306885]	[0.1410000000000001]
[0.029665250778198243]	[0.1420000000000001]
[0.030043230056762696]	[0.1430000000000001]
[0.03004283905029297]	[0.1440000000000001]
[0.02967050552368164]	[0.1450000000000001]
[0.030043084621429444]	[0.1460000000000001]
[0.030042588710784912]	[0.1470000000000001]
[0.0300424599647522]	[0.1480000000000001]
[0.029667887687683105]	[0.1490000000000001]
[0.030042498111724852]	[0.1500000000000001]
[0.030043420791625978]	[0.1510000000000001]
[0.029666135311126707]	[0.1520000000000001]
[0.030042333602905272]	[0.1530000000000001]
[0.030043272972106932]	[0.1540000000000001]
[0.03004317045211792]	[0.1550000000000001]
[0.029670660495758058]	[0.1560000000000001]
[0.03004212141036987]	[0.1570000000000001]
[0.03004297971725464]	[0.1580000000000001]
[0.02966921091079712]	[0.1590000000000001]
[0.030041956901550294]	[0.16000000000000011]
[0.030042858123779298]	[0.16100000000000012]
[0.030042736530303954]	[0.16200000000000012]
[0.02967161178588867]	[0.16300000000000012]
[0.030041723251342772]	[0.16400000000000012]
[0.030042643547058104]	[0.16500000000000012]
[0.029672601222991944]	[0.16600000000000012]
[0.03004160404205322]	[0.16700000000000012]
[0.030042665004730226]	[0.16800000000000012]
[0.02966996669769287]	[0.16900000000000012]
[0.030041418075561523]	[0.17000000000000012]
[0.030042500495910646]	[0.17100000000000012]
[0.03004242181777954]	[0.17200000000000013]
[0.029675307273864745]	[0.17300000000000013]
[0.03004117250442505]	[0.17400000000000013]
[0.030042240619659422]	[0.17500000000000013]
[0.029673101902008055]	[0.17600000000000013]
[0.03004101037979126]	[0.17700000000000013]
[0.030042104721069336]	[0.17800000000000013]
[0.03004199028015137]	[0.17900000000000013]
[0.029676673412323]	[0.18000000000000013]
[0.030040760040283204]	[0.18100000000000013]
[0.030041892528533936]	[0.18200000000000013]
[0.029676501750946046]	[0.18300000000000013]
[0.03004061222076416]	[0.18400000000000014]
[0.030041730403900145]	[0.18500000000000014]
[0.02967411756515503]	[0.18600000000000014]
[0.03004045009613037]	[0.18700000000000014]
[0.03004159212112427]	[0.18800000000000014]
